radius,propagation_g_hat,correlated_origin_g_hat,theoretical_g,propagation_pair_count,correlated_origin_pair_count
0.2,1.7718208439666356,1.6717594401426945,1.7921008634162165,1625,1661
0.6000000000000001,1.6431593919124428,1.6338487805528639,1.6554615369615444,4521,4870
1.0,1.508610042899838,1.4225555645380397,1.4488287443242678,6918,7067
1.4000000000000001,1.2707265446224012,1.243862640119932,1.254320189556272,8158,8651
1.8,1.1970845647339714,1.1015339143357783,1.1192470763210078,9881,9850
2.2,1.106805680768192,1.0377699945322327,1.0462680681380228,11166,11342
2.6000000000000005,1.0558794132400464,1.0033034124396414,1.014855309977211,12589,12959
3.0,1.0470279973946837,0.9727271364137523,1.0039468334081225,14404,14497
3.4000000000000004,1.0022893874630454,0.9711325599978976,1.0008677259752914,15627,16403
3.8,1.014830115132178,0.9828519488072359,1.0001578640084374,17684,18554
4.2,0.9821469035742961,0.9862043519341819,1.000023765687341,18916,20577
4.6000000000000005,0.9839235215124413,0.9908116442088541,1.0000029606315153,20755,22642
5.0,0.9814906159415436,0.9802287501166613,1.000000305200374,22504,24348
5.4,0.9666973757919837,0.9881001511776121,1.0000000260346948,23938,26507
5.800000000000001,0.9887230288337546,0.9915193474109222,1.0000000018377508,26297,28569
6.2,0.9902851783996138,0.9836533716184019,1.0000000001073464,28155,30297
6.6000000000000005,0.9925500821027083,0.9841826824651927,1.0000000000051887,30040,32269
7.0,0.9941823049407877,0.9805105638693646,1.0000000000002076,31913,34097
7.4,0.9917187004076371,0.984988029476983,1.0000000000000069,33653,36210
7.800000000000001,1.0047726913028319,0.9804899181731956,1.0000000000000002,35939,37993
8.2,0.9944003751985053,0.98718277449521,1.0,37392,40214
8.600000000000001,1.0024892603394755,0.9975364213208806,1.0,39535,42618
9.0,1.0038258563376918,0.9990968518452624,1.0,41429,44670
9.400000000000002,0.9931244322012125,1.0044219040113345,1.0,42809,46904
9.8,0.9992513258294003,1.0028420443313844,1.0,44906,48823
10.2,0.9942293397022542,1.0057869682434668,1.0,46504,50965
10.600000000000001,0.9971776850845488,0.9905829368096434,1.0,48471,52163
11.0,1.0006252898279369,0.9894956646860672,1.0,50474,54072
11.400000000000002,0.999220875632293,0.9830991538534661,1.0,52236,55676
11.8,0.9960821034571893,0.9828510509680881,1.0,53899,57615
